name,type,description,weight,durability,attacks,strength,dexterity,intelligence,faith
Balder Shield,Medium Shield,"Shield of the knights of the ancient kingdom of Balder. Tweaked for improved stability.\nBalder was the home of the Knight King Rendal, but the kingdom was reduced to ruins after a widespread outbreak of Undead.",4.0,220,Strike,12,0,0,0
Black Iron Greatshield,Greatshield,Greatshield of the mighty knight Tarkus.\nBuilt of special black iron and even heavier than Knight Berenike's tower shield. Especially resistant to fire attacks and effective for shield bashing.,16.0,230,Strike,34,0,0,0
Black Knight Shield,Medium Shield,"Shield of the Black Knights that wander Lordan. A flowing canal is chiseled deeply into its face.\nLong ago, the black knights faced the chaos demons, and were charred black, but their shields became highly resistant to fire.",6.0,250,Strike,16,0,0,0
Bloodshield,Medium Shield,"The Bloodshield spoken of in the lost legends. The red of blood is slightly enchanted, and boosts various resistances.",3.0,240,Strike,10,0,0,0
Bonewheel Shield,Greatshield,"Giant wooden wheel encircled by spikes. Half-melded to a strange skeleton.\nCan be used as a greatshield, only for the great gaps. But at least the spikes turn into weapons with a good spin. Strange indeed!",12.0,200,Strike,30,0,0,0
Buckler,Small Shield,"Very small round metal shield. Parry attacks with large center protrusion.\nSmall shields are always less stable, but landing critical hits after parry is easier. This shield is specialized for parrying.",1.5,140,Strike,7,13,0,0
Caduceus Kite Shield,Medium Shield,"Medium metal shield. Decorated by an ancient blue Caduceus. A standard, widely-used shield.",3.0,250,Strike,10,0,0,0
Caduceus Round Shield,Small Shield,"Round wooden shield crafted in Lordran. Decorated by an ancient blue Caduceus.\nThe giant trees in Lordran are distant offspring of the great stone archtrees. This shield inherits their properites, and the wood greatly reduces magic damage.",1.0,180,Strike,6,0,0,0
Cleansing Greatshield,Greatshield,"The steel greatshield used by Knight Artorias, who succumbed to the Abyss. Artorias, deeply scarred by the Abyss, used this to form a barrier to protect his compatriot Sif. Although this drained the shield, its magic defense remains high.",14.5,300,Strike,31,0,0,0
Cracked Round Shield,Small Shield,"Round wooden shield. Cracked and nearly broken.\nWood shields are lighter than metal shields, but this one has lower physical damage reduction stability, partly due to cracking.",1.0,60,Strike,6,0,0,0
