name,url,description
Bellowing Dragoncrest Ring,https://darksouls.fandom.com/wiki/Bellowing_Dragoncrest_Ring,"A special ring granted to only the most accomplished sorcerers at the Vinheim Dragon School.|The ring is engraved with an everlasting dragon, and boosts the strength of sorceries."
Bloodbite Ring,https://darksouls.fandom.com/wiki/Bloodbite_Ring,"One of the infamous bite rings commissioned by Sir Arstor of Carim.|Despite the dreadful rumors surrounding its creation, this ring is an unmistakable asset, in its ability to help prevent bleeding."
Blue Tearstone Ring,https://darksouls.fandom.com/wiki/Blue_Tearstone_Ring,The rare gem called tearstone has the uncanny ability to sense imminent death.|This blue tearstone from Catarina boosts the defence of its wearer when in danger.
Calamity Ring,https://darksouls.fandom.com/wiki/Calamity_Ring,"A ring enchanted by the orange eye of Kalameet, the bringer of calamity. Doubles damage received by its wearer.|A useless ring befitting of no finger. Best left unknown, or at least well hidden."
Cat Covenant Ring,https://darksouls.fandom.com/wiki/Cat_Covenant_Ring,Ring granted to those bound by the Forest Hunter covenant.Answer Alvina's summoning.|The white cat Alvina speaks a human tongue and has lived since the early Age of Fire. Alvina was a trusted friend of Knight Artorias and the Great Wolf Sif.
Cloranthy Ring,https://darksouls.fandom.com/wiki/Cloranthy_Ring,"This ancient ring, engraved with a large green flower, is of unknown origin.|Hastens the regeneration of stamina."
Covenant of Artorias,https://darksouls.fandom.com/wiki/Covenant_of_Artorias,"This ring symbolizes Knight Artorias' covenant with the beasts of the Abyss.|Its wearer, like Artorias himself, can traverse the abyss."
Covetous Gold Serpent Ring,https://darksouls.fandom.com/wiki/Covetous_Gold_Serpent_Ring,"The serpent is an imperfect dragon and symbol of the Undead. Its habit of devouring prey even larger than itself has led to an association with gluttony.|This gold ring, engraved with the serpent, boosts its wearer's item discovery, so that more items can be amassed."
Covetous Silver Serpent Ring,https://darksouls.fandom.com/wiki/Covetous_Silver_Serpent_Ring,"The serpent is an imperfect dragon and symbol of the Undead. Its habit of devouring prey even larger than itself has led to an association with gluttony.|This silver ring, engraved with the serpent, rewards its wearer with additional souls for each kill."
Cursebite Ring,https://darksouls.fandom.com/wiki/Cursebite_Ring,"One of the infamous bite rings commissioned by Sir Arstor of Carim.|Despite the dreadful rumors surrounding its creation, this ring is an unmistakable asset, in its ability to help prevent curses."
