name,type,description,weight,durability,attacks,strength,dexterity,intelligence,faith,strength_bonus,dexterity_bonus,intelligence_bonus,faith_bonus,physical_dmg,magic_dmg,fire_dmg,lightning_dmg,critical_dmg,physical_reduction,magic_reduction,fire_reduction,lightning_reduction,stability
Beatrice's Catalyst,Catalyst,"Catalyst belonging to Beatrice, the rogue witch. Contrasts with Vinheim catalysts. This ancient catalyst shows signs of being used for age-old sorceries. It has passed the hands of many generations to get here.",2.0,90,Strike,6,0,10,0,E,0,A,0,40,0,0,0,100,26,8,20,20,16
Demon's Catalyst,Catalyst,"Demon catalyst formed from Izalith molten rock. Can be used as fire weapon. The Demon Firesage was the first demon, and the last master of the original fire arts before the Witch of Izalith was engulfed by Chaos, creating pyromancy.",4.0,300,Thrust|Fire,12,10,10,0,D,D,B,0,110,0,170,0,100,26,8,20,20,16
Izalith Catalyst,Catalyst,"Catalyst of the Witch of Izalith of long ago, when her daughters were still flame witches, before they were engulfed by the Chaos Flame. Before the birth of pyromancy, their wands were mediums for sorcery, but knowledge of this flame sorcery has long since vanished.",2.0,300,Strike,6,0,14,0,E,0,A,0,40,0,0,0,100,26,8,20,20,16
Logan's Catalyst,Catalyst,"Catalyst of Big Hat Logan, the great sorcerer and seeker of knowledge. Originally the same catalyst employed by the Vinheim sorcerers, only terribly strengthened over time due to Logan's use. Very powerful when used by one of superior intelligence.",2.0,90,Strike,6,0,24,0,E,0,S,0,46,0,0,0,100,26,8,20,20,16
Manus Catalyst,Catalyst,"A sorcery catalyst born from the soul of Manus, father of the Abyss. A rough, old wooden catalyst large enough to be used as a strike weapon. Similar to the Tin Crystallization Catalyst, it boosts the strength of sorceries, but limits the number of castings.",5.0,200,Strike,14,0,13,0,B,0,S,0,190,0,0,0,100,26,8,20,20,16
Oolacile Catalyst,Catalyst,"Everyday Oolacile sorcery catalyst formed by several enchanted branches.\nBoosts sorcery adjustment, but lost land sorceries are not offensive, and attacks are not affected by intelligence.",2.0,55,Strike,6,0,10,0,E,0,C,0,40,0,0,0,100,26,8,20,20,16
Oolacile Ivory Catalyst,Catalyst,"Sorcery catalyst of the lost land of Oolacile. Formed by enchanted whitebark branches. The whitebark boosts sorcery adjustment, but the sorceries of this lost land are gentle and not affected by intelligence.",0.5,30,Strike,3,0,12,0,E,0,C,0,24,0,0,0,100,26,8,20,20,16
Sorcerer's Catalyst,Catalyst,Sorcery catalyst used by sorcerers of Vinheim Dragon School. Equip catalyst to use sorceries. Attune sorceries from a scroll at a bonfire. Most sorceries have a limited no. of uses.,2.0,90,Strike,6,0,10,0,E,0,A,0,40,0,0,0,100,26,8,20,20,16
Tin Banishment Catalyst,Catalyst,"Catalyst of the banishment sorcerers who flooded New Londo to seal off away the Darkwraiths and the Kings who fell to Dark. In contrast to other catalysts, the metal catalyst qualifies as a weapon, as it inflicts physical damage, however small.",3.0,160,Thrust,10,10,12,0,E,D,A,0,145,0,0,0,100,26,8,20,20,16
Tin Crystallization Catalyst,Catalyst,"Catalyst imbued in terrifying crystal magic. Used by Logan after his fixation on Seath.\nMakes all sorceries incredibly powerful, but demands extremely high intelligence from its wielder, and halves sorcery usages.",2.5,90,Thrust,7,0,32,0,E,0,S,0,240,0,0,0,100,26,8,20,20,16
Tin Darkmoon Catalyst,Catalyst,"Catalyst born from the soul of the Dark Sun Gwyndolin, Darkmoon deity who watches over the abandoned city of Gods, Anor Londo. Gwyndolin is Gwyn's last born and a legitimate god, but he is also a Moon sorcerer, and this wand is boosted by faith, not intelligence.",1.0,60,Strike,4,0,0,16,E,0,0,A,44,0,0,0,100,26,8,20,20,16
