name,url,description
Beatrice's Catalyst,https://darksouls.fandom.com/wiki/Beatrice%27s_Catalyst,"Catalyst belonging to Beatrice, the rogue witch. Contrasts with Vinheim catalysts. This ancient catalyst shows signs of being used for age-old sorceries. It has passed the hands of many generations to get here."
Demon's Catalyst,https://darksouls.fandom.com/wiki/Demon%27s_Catalyst,"Demon catalyst formed from Izalith molten rock. Can be used as fire weapon. The Demon Firesage was the first demon, and the last master of the original fire arts before the Witch of Izalith was engulfed by Chaos, creating pyromancy."
Izalith Catalyst,https://darksouls.fandom.com/wiki/Izalith_Catalyst,"Catalyst of the Witch of Izalith of long ago, when her daughters were still flame witches, before they were engulfed by the Chaos Flame. Before the birth of pyromancy, their wands were mediums for sorcery, but knowledge of this flame sorcery has long since vanished."
Logan's Catalyst,https://darksouls.fandom.com/wiki/Logan%27s_Catalyst,"Catalyst of Big Hat Logan, the great sorcerer and seeker of knowledge. Originally the same catalyst employed by the Vinheim sorcerers, only terribly strengthened over time due to Logan's use. Very powerful when used by one of superior intelligence."
Manus Catalyst,https://darksouls.fandom.com/wiki/Manus_Catalyst,"A sorcery catalyst born from the soul of Manus, father of the Abyss. A rough, old wooden catalyst large enough to be used as a strike weapon. Similar to the Tin Crystallization Catalyst, it boosts the strength of sorceries, but limits the number of castings."
Oolacile Catalyst,https://darksouls.fandom.com/wiki/Oolacile_Catalyst,"Sorcery catalyst of the lost land of Oolacile. Formed by enchanted whitebark branches.|Boosts sorcery adjustment, but lost land sorceries are not offensive, and attacks are not affected by intelligence."
Oolacile Ivory Catalyst,https://darksouls.fandom.com/wiki/Oolacile_Ivory_Catalyst,"Sorcery catalyst of the lost land of Oolacile. Formed by enchanted whitebark branches. The whitebark boosts sorcery adjustment, but the sorceries of this lost land are gentle and not affected by intelligence."
Physical,https://darksouls.fandom.com/wiki/Physical_(damage_type),
Physical,https://darksouls.fandom.com/wiki/Physical_(damage_type),
Sorcerer's Catalyst,https://darksouls.fandom.com/wiki/Sorcerer%27s_Catalyst,Sorcery catalyst used by sorcerers of Vinheim Dragon School. Equip catalyst to use sorceries. Attune sorceries from a scroll at a bonfire. Most sorceries have a limited no. of uses.
Tin Banishment Catalyst,https://darksouls.fandom.com/wiki/Tin_Banishment_Catalyst,"Catalyst of the banishment sorcerers who flooded New Londo to seal off away the Darkwraiths and the Kings who fell to Dark. In contrast to other catalysts, the metal catalyst qualifies as a weapon, as it inflicts physical damage, however small."
Tin Crystallization Catalyst,https://darksouls.fandom.com/wiki/Tin_Crystallization_Catalyst,"Catalyst imbued in terrifying crystal magic. Used by Logan after his fixation on Seath.|Makes all sorceries incredibly powerful, but demands extremely high intelligence from its wielder, and halves sorcery usages."
Tin Darkmoon Catalyst,https://darksouls.fandom.com/wiki/Tin_Darkmoon_Catalyst,"Catalyst born from the soul of the Dark Sun Gwyndolin, Darkmoon deity who watches over the abandoned city of Gods, Anor Londo. Gwyndolin is Gwyn's last born and a legitimate god, but he is also a Moon sorcerer, and this wand is boosted by faith, not intelligence."
