name,set,description,weight,durability,type
Anklet of the Great Lord,Great Lord,"Anklet of Gwyn, Lord of Cinder, who linked the First Flame.|Lord Gwyn, bearer of the ultimate soul, divided that power among his clan before linking the flame. When he departed, he left only with his greatsword, his garb, and the crown, now bereft of power.",2.8,400,Legs Armor
Antiquated Dress,Antiquated,"A dress from the ancient fallen land of Oolacile. Its ivory-colored silk features elaborate embroidery and is imbued with ancient magic power.|One cannot expect any physical protection from this garment, as it was not meant to be worn in battle.",1.0,150,Chest Armor
Antiquated Gloves,Antiquated,"Gloves from the ancient fallen land of Oolacile. Their ivory-colored silk features elaborate embroidery and are imbued with ancient magic power.|One cannot expect any physical protection from these, as they were not meant to be worn in battle.",0.6,150,Hands Armor
Antiquated Skirt,Antiquated,"A skirt from the ancient fallen land of Oolacile. Its ivory-colored silk features elaborate embroidery and is imbued with ancient magic power.|One cannot expect any physical protection from this garment, as it was not meant to be worn in battle.",3.0,150,Legs Armor
Armor of Artorias,Artorias,"Armor of Artorias the Abysswalker, one of Gwyn's four knights.|The death of the armor's owner can be surmised from the corrosive Dark of the Abyss, and the tattered azure-blue cape, once a symbol of pride and glory.",10.5,600,Chest Armor
Armor of Thorns,Thorns,"Armor of Kirk, knight of Thorns and notorious member of the Darkwraiths. A dense patch of thorns grows from its surface.|It is a fitting item for the murderous Kirk, for by simply wearing it and rolling, one can damage enemies.",10.5,250,Chest Armor
Armor of the Glorious,Adventurer's,"Strange armor from the ancient land of Zena, birthplace of the curious dealer Domhnall.|The many medals are believed to symbolize glory.",13.3,500,Chest Armor
Armor of the Sun,Iron,"Armor of Solaire of Astora, Knight of Sunlight. The large holy symbol of the Sun, while powerless, was painted by Solaire himself.|Solaire's incredible prowess must have come from rigorous training alone, for his equipment exhibits no special traits.",9.0,350,Chest Armor
Balder Armor,Balder,"Armor worn by the knights of the ancient kingdom of Balder. It is made from thick iron plates.|Balder was the homeland of the Knight King Rendal, but it came to ruin after a great many Undead were spawned.",10.9,450,Chest Armor
Balder Gauntlets,Balder,"Gauntlets worn by the knights of the ancient kingdom of Balder. It is made from thick iron plates.|Balder was the homeland of the Knight King Rendal, but it came to ruin after a great many Undead were spawned.",3.5,450,Hands Armor
Balder Helm,Balder,"Helm worn by the knights of the ancient kingdom of Balder. It is made from thick iron plates.|Balder was the homeland of the Knight King Rendal, but it came to ruin after a great many Undead were spawned.",4.2,450,Head Armor
Balder Leggings,Balder,"Leggings worn by the knights of the ancient kingdom of Balder. It is made from thick iron plates.|Balder was the homeland of the Knight King Rendal, but it came to ruin after a great many Undead were spawned.",6.4,450,Legs Armor
Big Hat,Big Hat's,"Gigantic hat worn by the great sorcerer Logan. It completely hid his face, which led to his nickname ""Big Hat.""|Famously antisocial, Logan used it to block out noise and people's stares so he could focus on his own thoughts, but it does not possess any special magic powers.",3.0,250,Head Armor
Black Cleric Robe,Black,"Robe worn by pardoners serving Velka, the Goddess of Sin.|The pardoners' attire is uniformly black in color and said to be imbued with Velka's mystical power, which provides resistance against all manner of magic.",3.9,400,Chest Armor
Black Iron Armor,Black Iron,"Armor of Black Iron Tarkus, a knight known for his great strength.|Built of a special black iron and providing strong defense, notably against fire, but so terrible heavy to be unwieldy to all but Tarkus himself.",15.6,600,Chest Armor
Black Iron Gauntlets,Black Iron,"Gauntlets of Black Iron Tarkus, a knight known for his great strength.|Built of a special black iron and providing strong defense, notably against fire, but so terrible heavy to be unwieldy to all but Tarkus himself.",9.2,600,Hands Armor
Black Iron Helm,Black Iron,"Helm of Black Iron Tarkus, a knight known for his great strength.|Built of a special black iron and providing strong defense, notably against fire, but so terrible heavy to be unwieldy to all but Tarkus himself.",6.0,600,Head Armor
Black Iron Leggings,Black Iron,"Leggings of Black Iron Tarkus, a knight known for his great strength.|Built of a special black iron and providing strong defense, notably against fire, but so terrible heavy to be unwieldy to all but Tarkus himself.",9.2,600,Legs Armor
Black Knight Armor,Black Knight,"Armor of the Black Knight who haunt Lordran.|The knights followed Lord Gwyn when he departed to link the flame, but they were burned to ashes in newly kindled fire, wandering the world as disembodied spirits ever after.",13.0,550,Chest Armor
Black Knight Gauntlets,Black Knight,"Gauntlets of the Black Knights who haunt Lordran.|The knights followed Lord Gwyn when he departed to link the flame, but they were burned to ashes in newly kindled fire, wandering the world as disembodied spirits ever after.",6.0,550,Hands Armor
Black Knight Helm,Black Knight,"Helm of the Black Knight who haunt Lordran.|The knights followed Lord Gwyn when he departed to link the flame, but they were burned to ashes in newly kindled fire, wandering the world as disembodied spirits ever after.",5.0,550,Head Armor
Black Knight Leggings,Black Knight,"Leggings of the Black Knights who haunt Lordran.|The knights followed Lord Gwyn when he departed to link the flame, but they were burned to ashes in newly kindled fire, wandering the world as disembodied spirits ever after.",7.0,550,Legs Armor
Black Leather Armor,Black Leather,"This armor made of smooth black leather is extremely quiet, a good thing for those who hide in the shadows.|The leather itself is thick, offering a decent level of protection.",3.1,250,Chest Armor
Black Leather Boots,Black Leather,"These boots made of smooth black leather are extremely quiet, a good thing for those who hide in the shadows.|The leather itself is thick, offering a decent level of protection.",3.0,250,Legs Armor
