name,url,description
Anastacia of Astora's Soul,"Soul of the Ash Maiden, Fire Keeper of Firelink Shrine.|A Fire Keeper's soul is a draw for humanity, and held within their bosoms, below just a thin layer of skin, are swarms of humanity that writhe and squirm. Was the Ash Maiden locked in this dark prison for some transgression, or by her own will?"
Core of an Iron Golem,"Soul serving as the core of the Iron Golem, guardian of Sen's Fortress, and slayer of countless heroes seeking Anor Londo.|Originally a bone of an everlasting dragon.|Use to acquire a huge amount of souls, or to create a unique weapon."
Darkmoon Knightess Soul,"Soul of the Darkmoon Knightess, Fire Keeper of Anor Londo.|A Fire Keeper's soul is a draw for humanity, and held within their bosoms, below just a thin layer of skin, are swarms of humanity that writhe and squirm. Her brass armor serves to disguise this ghastly form."
Dark Soul,
Guardian Soul,"Soul of the white winged lion sanctuary watchkeeper, who dreaded the spread of the Abyss.|The Guardian exhibited traits of several animals other than lions, suggesting that it was no ordinary beast, but rather closer to the beings known as Demons."
Keeper Soul,"Soul of a long-lost Fire Keeper.|Each Fire Keeper is a corporeal manifestation of her bonfire, and a draw for the humanity which is offered to her. Her soul is gnawed by infinite humanity, and can boost the power of the precious Estus Flask. Reinforced Estus Flasks capture denser Estus, allowing for increased restoration of HP."
Large Soul of a Brave Warrior,"Large soul of a brave Undead warrior who has long ago gone Hollow.|Use to acquire a large amount of souls.|Souls are the source of all life, and whether Undead, or even Hollow, one continues to seek them."
Large Soul of a Lost Undead,"Large soul of a lost Undead who has long ago gone Hollow.|Use to acquire souls.|Souls are the source of all life, and whether Undead, or even Hollow, one continues to seek them."
Large Soul of a Nameless Soldier,"Soul of a nameless Undead soldier who has long ago gone Hollow.|Use to acquire many souls.|Souls are the source of all life, and whether Undead, or even Hollow, one continues to seek them."
Large Soul of a Proud Knight,"Large soul of a proud Undead knight who has long ago gone Hollow.|Use to acquire many souls.|Souls are the source of all life, and whether Undead, or even Hollow, one continues to seek them."
Queelag's Sister Soul,"Soul of a Daughter of Chaos, Fire Keeper of Quelaag's Domain.|A Fire Keeper's soul is a draw for humanity, and held within their bosoms, below just a thin layer of skin, are swarms of humanity that writhe and squirm. To her, the countless eggs which appeared were cradles for each tiny humanity."
Soul of Artorias,"Soul of Lord Gwyn's Knight Artorias, who was consumed by the Abyss.|The Legend that Artorias repelled the Abyss only told half of the story. It seems that he was defeated, and his honor preserved, by some unsung hero, who is the true victor over the Abyss."
Soul of Bed of Chaos,"Soul of the Bed of Chaos and the mother of all demons. This Lord Soul was found at the dawn of the Age of Fire.|The Witch of Izalith attempted to duplicate the First Flame from a soul, but instead created a distorted being of chaos and fire. Its power formed a bed of life which would become the source of all demons, and is more than enough to satiate the Lordvessel."
